,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
145,Reconstruction-optimal,24,140.0,3461.324,3328.0,131.09569,8,1
146,Reconstruction-optimal,25,140.0,3335.269,3200.0,127.07488,8,1
147,Reconstruction-optimal,26,140.0,3218.4255,3072.0005,123.58946,8,1
148,Reconstruction-optimal,27,137.0,3103.0461,2944.0,120.28522,8,1
149,Reconstruction-optimal,28,140.0,2972.1406,2815.9998,115.77408,8,1
150,Reconstruction-optimal,29,113.0,2870.3342,2687.9998,113.24803,8,1
151,Reconstruction-optimal,30,114.0,2751.49,2559.9998,109.722115,8,1
152,Reconstruction-optimal,31,116.0,2608.5657,2432.0,107.45651,8,1
153,Reconstruction-optimal,32,115.0,2483.3281,2304.0,103.77833,8,1
154,Reconstruction-optimal,33,115.0,2321.243,2176.0,100.98933,8,1
155,Reconstruction-optimal,34,130.0,2172.9858,2048.0002,96.96668,8,1
156,Reconstruction-optimal,35,97.0,2073.5117,1920.0002,91.03775,8,1
157,Reconstruction-optimal,36,88.0,1921.585,1792.0,87.08558,8,1
158,Reconstruction-optimal,37,82.0,1807.5505,1664.0001,82.25606,8,1
159,Reconstruction-optimal,38,86.0,1678.1984,1536.0,78.892365,8,1
160,Reconstruction-optimal,39,70.0,1513.9427,1408.0001,74.909096,8,1
161,Reconstruction-optimal,40,73.0,1360.9689,1280.0001,69.96458,8,1
162,Reconstruction-optimal,41,62.0,1243.7067,1152.0,63.486393,8,1
163,Reconstruction-optimal,42,64.0,1116.9038,1024.0,57.015945,8,1
164,Reconstruction-optimal,43,62.0,979.9773,896.0,52.52543,8,1
165,Reconstruction-optimal,44,42.0,848.52075,768.0002,47.35195,8,1
166,Reconstruction-optimal,45,33.0,690.9374,640.00006,43.604378,8,1
167,Reconstruction-optimal,46,22.0,578.97473,512.0002,39.502724,8,1
168,Reconstruction-optimal,47,24.0,431.74908,384.0001,31.897766,8,1
169,Reconstruction-optimal,48,5.0,299.39517,256.00024,23.953676,8,1
170,Reconstruction-optimal,49,5.0,150.19998,128.00035,15.437338,8,1
171,Reconstruction-optimal,50,0.0,1.1881793e-08,0.00029087067,0.03438194,8,1
172,Reconstruction-optimal,51,0.0,1.1045505e-08,0.00034332275,0.026146967,8,1
173,Reconstruction-optimal,52,0.0,9.949711e-09,0.000330925,0.007965387,8,1
174,Reconstruction-optimal,53,0.0,9.747191e-09,0.00028705597,0.043907333,8,1
