index,Sampling Criterion,Sample Size,τ,graph_id
69,Conf. Ellips.,70,-0.23916043881775978,0
70,Conf. Ellips.,71,-0.26438234007490563,0
71,Conf. Ellips.,72,-0.18790925690223048,0
72,Conf. Ellips.,73,-0.14789290156472248,0
73,Conf. Ellips.,74,-0.18378354520552448,0
74,Conf. Ellips.,75,-0.157858796549597,0
75,Conf. Ellips.,76,-0.1705970178463204,0
76,Conf. Ellips.,77,-0.13344356275911054,0
77,Conf. Ellips.,78,-0.1842851132363279,0
78,Conf. Ellips.,79,-0.13157313546974905,0
79,Conf. Ellips.,80,-0.19662016931900866,0
80,Conf. Ellips.,81,-0.10846039641091779,0
81,Conf. Ellips.,82,-0.10933324745621746,0
82,Conf. Ellips.,83,-0.1075239974480084,0
83,Conf. Ellips.,84,-0.12796463784792422,0
84,Conf. Ellips.,85,-0.11247857499609211,0
85,Conf. Ellips.,86,-0.07791122375849255,0
86,Conf. Ellips.,87,-0.06874944925388463,0
87,Conf. Ellips.,88,-0.1397977074800963,0
88,Conf. Ellips.,89,-0.08939485592954241,0
89,Conf. Ellips.,90,-0.10382388246622298,0
90,Conf. Ellips.,91,-0.08723200254739538,0
91,Conf. Ellips.,92,-0.08780652941801179,0
92,Conf. Ellips.,93,-0.06780546483299474,0
93,Conf. Ellips.,94,-0.07164167457583517,0
94,Conf. Ellips.,95,-0.06302738304405153,0
95,Conf. Ellips.,96,-0.05266661044344971,0
96,Conf. Ellips.,97,-0.05714590016958425,0
97,Conf. Ellips.,98,-0.06315364791290393,0
98,Conf. Ellips.,99,-0.08234833607878471,0
99,Conf. Ellips.,100,-0.050944063340031674,0
0,WMSE,1,0.11577465305662675,0
1,WMSE,2,0.12375390041785213,0
2,WMSE,3,0.12902041749740653,0
3,WMSE,4,0.14378868749156223,0
4,WMSE,5,0.14733236731480606,0
5,WMSE,6,0.1519498031863105,0
6,WMSE,7,0.15981931474546263,0
7,WMSE,8,0.1581111021183567,0
8,WMSE,9,0.15387487848725315,0
9,WMSE,10,0.16291098965962547,0
10,WMSE,11,0.17248265114025402,0
11,WMSE,12,0.18215879605522042,0
12,WMSE,13,0.16104561595767208,0
13,WMSE,14,0.1888498565027316,0
14,WMSE,15,0.17115041516828136,0
15,WMSE,16,0.19004892536298176,0
16,WMSE,17,0.17185065063851396,0
17,WMSE,18,0.1920264760560986,0
18,WMSE,19,0.2094618524139417,0
